ENSG00000000419	DAP1_0113
ENSG00000000457	DAP1_3245
ENSG00000000938	DAP2_5888
ENSG00000000971	DAP3_5260
ENSG00000001084	DAP4_2857
ENSG00000001167	DAP2_5894
ENSG00000001461	DAP3_3777
ENSG00000001497	DAP2_3909
ENSG00000001617	DAP3_0864
ENSG00000001626	DAP2_2383
ENSG00000001630	DAP1_2311
ENSG00000001631	DAP2_2160
ENSG00000002016	DAP4_0949
ENSG00000002586	DAP4_5982
ENSG00000002726	DAP4_1104
ENSG00000002822	DAP1_2209
ENSG00000002834	DAP3_5550
ENSG00000003056	DAP4_2485
ENSG00000003147	DAP3_5397
ENSG00000003400	DAP4_1011
ENSG00000003402	DAP1_2190
ENSG00000003436	DAP1_4991
ENSG00000003756	DAP3_4160
ENSG00000003989	DAP4_2157
ENSG00000004059	DAP1_0942
ENSG00000004399	DAP3_3145
ENSG00000004468	DAP2_2941
ENSG00000004478	DAP3_0697
ENSG00000004534	DAP4_4261
ENSG00000004700	DAP2_4075
ENSG00000004779	DAP3_3295
ENSG00000004799	DAP3_5723
ENSG00000004864	DAP2_4157
ENSG00000004866	DAP3_2182
ENSG00000004897	DAP4_5504
ENSG00000004939	DAP3_3924
ENSG00000004948	DAP4_5050
ENSG00000004961	DAP3_4880
ENSG00000005020	DAP2_5817
ENSG00000005022	DAP1_1931
ENSG00000005075	DAP4_2739
ENSG00000005102	DAP2_2144
ENSG00000005156	DAP2_0715
ENSG00000005187	DAP3_1951
ENSG00000005189	DAP1_1749
ENSG00000005238	DAP4_1856
ENSG00000005249	DAP3_0427
ENSG00000005339	DAP2_3520
ENSG00000005381	DAP4_0905
ENSG00000005421	DAP4_2038
ENSG00000005471	DAP4_1885
ENSG00000005810	DAP3_3103
ENSG00000005844	DAP2_2095
ENSG00000005882	DAP1_1432
ENSG00000005884	DAP1_0751
ENSG00000005889	DAP3_1828
ENSG00000005893	DAP4_0130
ENSG00000005961	DAP4_4098
ENSG00000006007	DAP3_2892
ENSG00000006016	DAP4_2811
ENSG00000006062	DAP1_2225
ENSG00000006071	DAP2_5076
ENSG00000006074	DAP3_4019
ENSG00000006075	DAP3_2705
ENSG00000006125	DAP4_3887
ENSG00000006128	DAP2_5389
ENSG00000006210	DAP4_1009
ENSG00000006327	DAP4_3893
ENSG00000006451	DAP2_5602
ENSG00000006468	DAP1_5660
ENSG00000006534	DAP1_5600
ENSG00000006607	DAP4_2789
ENSG00000006625	DAP2_1844
ENSG00000006634	DAP2_5384
ENSG00000006638	DAP1_3057
ENSG00000006652	DAP4_4260
ENSG00000006695	DAP2_0969
ENSG00000006715	DAP4_5013
ENSG00000006744	DAP4_2311
ENSG00000006756	DAP1_3515
ENSG00000006831	DAP3_0933
ENSG00000007062	DAP3_4133
ENSG00000007168	DAP4_2838
ENSG00000007171	DAP3_0208
ENSG00000007174	DAP4_2536
ENSG00000007202	DAP3_2059
ENSG00000007216	DAP1_3569
ENSG00000007237	DAP3_3284
ENSG00000007264	DAP3_3979
ENSG00000007306	DAP3_4098
ENSG00000007312	DAP2_5088
ENSG00000007314	DAP4_3778
